Question,Answer,Source,Type
What is the normal vector to a curve?,The normal vector to a curve is the vector perpendicular to the tangent line at a given point on the curve.,FunktionerModul1.pdf,concept
What is the binormal vector to a curve?,The binormal vector to a curve is the vector perpendicular to both the tangent line and the normal vector at a given point on the curve.,FunktionerModul1.pdf,concept
What type of curve is the particle moving along?,Ellipskurva,FunktionerModul1.pdf,concept
What is the speed of the particle at time t = 2?,"Bestäm partikelns hastighet, fart och acceleration vid tidpunkten t = 2.",FunktionerModul1.pdf,concept
Where does the particle move fastest?,I vilka punkter på kurvan är farten som störst?,FunktionerModul1.pdf,concept
What is the maximum speed of the particle?,Bestäm den största farten.,FunktionerModul1.pdf,concept
"How do you know that the point (2, 4, 4) lies on the curve?","Hur vet man att punkten (2, 4, 4) ligger på kurvan?",FunktionerModul1.pdf,concept
"Find a parameter representation of the tangent line to the curve at the point (2, 4, 4).","Bestäm en parameterframställning av tangentlinjen till kurvan i punkten (2, 4, 4).",FunktionerModul1.pdf,concept
"Verify that the point (1, 0, 1) lies on the spiral curve.","Verifiera att punkten (1, 0, 1) ligger på spiralkurvan.",FunktionerModul1.pdf,concept
"Find the length of the part of the spiral curve that lies between the points (-2, 4, 4) and (2, 4, 4).","Bestäm längden av den del av spiralkurvan som ligger mellan punkten (-2, 4, 4) och (2, 4, 4).",FunktionerModul1.pdf,concept
What is the speed of the particle at time t = 1?,"Bestäm partikelns hastighet, fart och acceleration i tidpunkten t = 1.",FunktionerModul1.pdf,concept
"Find the length of the part of the curve that lies between the points (-2, 4, 4) and (2, 4, 4).","Bestäm en integral som ger längden av den del av kurvan som ligger mellan punkten (-2, 4, 4) och (2, 4, 4).",FunktionerModul1.pdf,concept
"Verify that the point (1, 0, 1) lies on the curve.","Verifiera att punkten (1, 0, 1) ligger på kurvan.",FunktionerModul1.pdf,concept
"Find the tangent vector to the curve at the point (1, 0, 1).","Bestäm en tangentvektor till kurvan i punkten (1, 0, 1).",FunktionerModul1.pdf,concept
"Find a parameter representation of the tangent line to the curve at the point (1, 0, 1).","Bestäm en parametrisering av tangentlinjen till kurvan i punkten (1, 0, 1).",FunktionerModul1.pdf,concept
"Find the length of the part of the curve that lies between the points (0, 0, 0) and (1, 0, 1).","Bestäm längden av den del av kurvan som ligger mellan punkten (0, 0, 0) och (1, 0, 1).",FunktionerModul1.pdf,concept
nktioner kontinuerliga?,,FunktionerModul1.pdf,concept
"Rektangul¨ ara koordinater: x 2 + y 2 ≤ 9, x -y ≥ 3",,FunktionerModul1.pdf,concept
"Pol¨ ara koordinater: 3 π/ 2 ≤ θ ≤ 2 π , 3 cos θ -sin θ ≤ r ≤ 3",,FunktionerModul1.pdf,concept
Rektangul¨ ara koordinater: x 2 +( y -2) 2 ≤ 4,,FunktionerModul1.pdf,concept
"Pol¨ ara koordinater: 0 ≤ θ ≤ π , 0 ≤ r ≤ 4 sin θ",,FunktionerModul1.pdf,concept
"1 ≤ r ≤ √ 3 , π/ 4 &lt; θ &lt; 3 π/ 4.",,FunktionerModul1.pdf,concept
"I ( r, z )-planet:",,FunktionerModul1.pdf,concept
"Rymdpol¨ ara koordinater: 0 ≤ r ≤ a , 0 ≤ ϕ ≤ π/ 2, π ≤ θ ≤ 2 π",,FunktionerModul1.pdf,concept
"0 &lt; r &lt; 3 , 0 &lt; ϕ &lt; π/ 2 , 0 &lt; θ &lt; π",,FunktionerModul1.pdf,concept
"L˚ at P = ( a, b ) vara en punkt ej med i m¨ angden C 1 .",,FunktionerModul1.pdf,concept
"M¨ angden ¨ ar sluten av samma sk¨ al som uppgiften a), och ryms i l˚ adan d¨ ar | x | ≤ 5 och | y | ≤ 5.",,FunktionerModul1.pdf,concept
M¨ angden ¨ ar begr¨ ansad men ej sluten.,,FunktionerModul1.pdf,concept
"Randpunkterna ¨ ar m¨ angden { ( x, y ) | x 2 = y } .",,FunktionerModul1.pdf,concept
"What is the set of half-planes {(x, y) : x + y > -1}?",Halvplanet.,FunktionerModul1.pdf,definition
"What is the set of strips {(x, y) : -3 ≤ y ≤ 1}?",Stripen.,FunktionerModul1.pdf,definition
What is the shape of the level curves?,Cirklar runt origo i xy-planet.,FunktionerModul1.pdf,definition
What is the type of the level curves?,R¨ ata linjer i xy-planet.,FunktionerModul1.pdf,definition
What is the type of the level curves?,Ellipsoider runt origo i xyz-rymden.,FunktionerModul1.pdf,definition
I planet anv¨ ander vi ofta pol¨ ara koordinater.,"Ja, planet anv¨ ander pol¨ ara koordinater.",FunktionerModul1.pdf,concept
"En noll-skilld vektor i R 2 kan beskrivas med avst˚ andet fr˚ an origo, och vinkeln - som vi m¨ ater moturs fr˚ an x -axeln.","Ja, en noll-skilld vektor i R 2 kan beskrivas med avst˚ andet fr˚ an origo, och vinkeln - som vi m¨ ater moturs fr˚ an x -axeln.",FunktionerModul1.pdf,concept
"Om ( x, y ) ¨ ar koordinaterna till en noll-skilld vektor har vi relationerna","Ja, om ( x, y ) ¨ ar koordinaterna till en noll-skilld vektor har vi relationerna d²x² + y² = r² och 0 ≤ θ ≤ 2π.",FunktionerModul1.pdf,concept
1.1 Pol¨ ara koordinater,"1.1 Pol¨ ara koordinater är en speciella system för koordinatan och vektorer i R 2. Nätverkskraften av en vektor i R 2 kan beskrivas med avst˚ och andet fr˚ an origo, och vinkeln - som vi m¨ ater moturs fr˚ an x -axeln.",FunktionerModul1.pdf,concept
1.2 Cylinderkoordinater,"1.2 Cylinderkoordinater är en speciella system för koordinatan och vektorer i R 3. Fördelar till tredje koordinaten. Det vill s¨ aga om (x, y, z) är koordinaterna till en punkt i R 3, d ˚ a ges cylinderkoordinater (r, θ, z) vilka best¨ ammer ett omr˚ ade, en s˚ akallad annulus, A i planet.",FunktionerModul1.pdf,concept
1.3 Sf¨ ariska koordinater,"1.3 Sf¨ ariska koordinater är en speciella system för koordinatan och vektorer i R 3. De sf¨ ariska koordinaterna (R,ϕ,θ) är lite sv˚ arare att visualisera vid f¨ orsta m¨ ote, men är end˚ a mycket naturliga. En given punkt (x, y, z) befinner sig p˚ a en unik sf¨ ar centrerad omkring origo. Radien av denna sf¨ ar är R = √ x 2 + y 2 + z 2. Vi l˚ ater positiva z -axeln best¨ amma nordpolen p˚ a varje s˚ adan sf¨ ar.",FunktionerModul1.pdf,concept
Uppgifter,"Uppgift 1.3. Beskriv nedanst˚ aende omr˚ aden dels i rektangul¨ ara koordinater, dels i pol¨ ara koordinater.",FunktionerModul1.pdf,definition
ssera f¨ oljande omr˚ aden uttryckta i pol¨ ara koordinater.,"a) r ≤ 4,
b) π/ 4 ≤ θ ≤ 3 π/ 4,
c) 0 ≤ r ≤ 5 , π ≤ θ ≤ 3 π/ 2,
d) r = 2 , 0 ≤ θ ≤ π,
e) 1 ≤ r ≤ 3 , θ = π/ 4,
f) r = 0.",FunktionerModul1.pdf,definition
"Uppgift 1.4. Hur beskrivs Ω = { ( x, y ) : 1 ≤ x 2 + y 2 ≤ 3 och | x | &lt; y } i pol¨ ara koordinater.","Uppgift 1.4. Hur beskrivs Ω = { ( x, y ) : 1 ≤ x 2 + y 2 ≤ 3 och | x | &lt; y } i pol¨ ara koordinater.",FunktionerModul1.pdf,definition
Uppgift 1.5. Beskriv omr˚ adet i cylindriska koordinater. (En ruta = en l¨ angdenhet.),Uppgift 1.5. Beskriv omr˚ adet i cylindriska koordinater. (En ruta = en l¨ angdenhet.),FunktionerModul1.pdf,definition
"a) 0 ≤ r ≤ 3, 0 ≤ z ≤ 4","a) 0 ≤ r ≤ 3, 0 ≤ z ≤ 4",FunktionerModul1.pdf,definition
"b) z = 2 r , z ≤ 4","b) z = 2 r , z ≤ 4",FunktionerModul1.pdf,definition
c) 0 ≤ z ≤ 5 -r 2 / 3,c) 0 ≤ z ≤ 5 -r 2 / 3,FunktionerModul1.pdf,definition
Uppgift 1.7. Skissera f¨ oljande omr˚ aden beskrivna i sf¨ ariska koordinater.,Uppgift 1.7. Skissera f¨ oljande omr˚ aden beskrivna i sf¨ ariska koordinater.,FunktionerModul1.pdf,definition
"a) 0 ≤ r ≤ 5, 0 ≤ ϕ ≤ π/ 6, π/ 2 ≤ θ ≤ 2 π","a) 0 ≤ r ≤ 5, 0 ≤ ϕ ≤ π/ 6, π/ 2 ≤ θ ≤ 2 π",FunktionerModul1.pdf,definition
"b) 0 ≤ r ≤ 5, π/ 18 ≤ ϕ ≤ π/ 4, 0 ≤ θ ≤ π/ 2","b) 0 ≤ r ≤ 5, π/ 18 ≤ ϕ ≤ π/ 4, 0 ≤ θ ≤ π/ 2",FunktionerModul1.pdf,definition
"Uppgift 1.8. Beskriv f¨ oljande fj¨ ardedelsklot med radie a dels i rektangul¨ ara koordinater, dels i rymdpol¨ ara koordinater.","Uppgift 1.8. Beskriv f¨ oljande fj¨ ardedelsklot med radie a dels i rektangul¨ ara koordinater, dels i rymdpol¨ ara koordinater.",FunktionerModul1.pdf,definition
"a) 0 ≤ r ≤ 5, 0 ≤ ϕ ≤ π/ 6, π/ 2 ≤ θ ≤ 2 π","a) 0 ≤ r ≤ 5, 0 ≤ ϕ ≤ π/ 6, π/ 2 ≤ θ ≤ 2 π",FunktionerModul1.pdf,definition
"b) 0 ≤ r ≤ 5, π/ 18 ≤ ϕ ≤ π/ 4, 0 ≤ θ ≤ π/ 2","b) 0 ≤ r ≤ 5, π/ 18 ≤ ϕ ≤ π/ 4, 0 ≤ θ ≤ π/ 2",FunktionerModul1.pdf,definition
"Uppgift 1.9. Hur beskrivs m¨ angden K = { ( x, y, z ) : x 2 + y 2 + z 2 &lt; 9 , y &gt; 0 och z &gt; 0 } i sf¨ ariska koordinater?","Uppgift 1.9. Hur beskrivs m¨ angden K = { ( x, y, z ) : x 2 + y 2 + z 2 &lt; 9 , y &gt; 0 och z &gt; 0 } i sf¨ ariska koordinater?",FunktionerModul1.pdf,definition
3.1 Vektorvärden funktioner,"Vektorvärden funktioner har en ordnad sekvens x1, x2, ..., xn av reellvärden funktioner x'i: R → R^n med i = 1, ..., n. Funktionerna x1, x2, ..., xn kallar vi koordinatfunktionerna til r.",FunktionerModul1.pdf,definition
Koordinatfunktioner,"Koordinatfunktionerna är en ordnad sekvens x1, x2, ..., xn av reellvärden funktioner x'i: R → R^n med i = 1, ..., n. Funktionerna x1, x2, ..., xn kallar vi koordinatfunktionerna til r.",FunktionerModul1.pdf,definition
Derivator,Om koordinatfunktionerna till en vektorvärden funktion r: R → R^n ¨ ar deriverbara f˚ ar vi en ny vektorvärden funktion d: R → R^n definerad av uttrycket uttrycket.,FunktionerModul1.pdf,definition
3.2 Kurvor och parametrisering,"Bilden av funktionen r(a, b): [a, b] → R^n med godtyckliga a ≤ t ≤ b, och kallas en kurva i R^n.",FunktionerModul1.pdf,definition
Sl¨ at kurva,"L˚ at r: [a, b] → R^n är en vektorvärden funktion d: R → R^n definerad av uttrycket uttrycket. Om derivatan d(r(t)): R → R^n ger en noll-skilld riktningsvektor f¨ or tangentlinjen till kurvan C i varje punkt r(a, b) d˚ a s¨ ager vi att kurvan C ¨ ar sl¨ at.",FunktionerModul1.pdf,definition
Kurvan,"L˚ at r: [a, b] → R^n är en vektorvärden funktion d: R → R^n definerad av uttrycket uttrycket. Om derivatan d(r(t)): R → R^n ger en noll-skilld riktningsvektor f¨ or tangentlinjen till kurvan C i varje punkt r(a, b) d˚ a s¨ ager vi att kurvan C ¨ ar sl¨ at.",FunktionerModul1.pdf,definition
Lösenord,"Lösenord är en funktion med deriverbara koordinatfunktioner. Bilden till funktionen r(a, b): [a, b] → R^n med godtyckliga a ≤ t ≤ b, och kallas en kurva i R^n.",FunktionerModul1.pdf,definition
3.1 Vektorvärden funktioner,Vektorvärden funktioner är en specifik formel för en funktion som beskriver hur en partiellt skapad punkt skall vara. Detta är en specifik formel för en funktion som beskriver hur en partiellt skapad punkt skall vara.,FunktionerModul1.pdf,concept
Koordinatfunktioner,Koordinatfunktioner är en specifik formel för en funktion som beskriver hur en partiellt skapad punkt skall vara. Detta är en specifik formel för en funktion som beskriver hur en partiellt skapad punkt skall vara.,FunktionerModul1.pdf,concept
Derivator,"Om koordinatfunktionerna till en vektorvärden funktion r : R -→ R n ¨ ar deriverbara f˚ ar vi en ny vektorvärden funktion d r : R → R n definerad av uttrycket

Anm¨ arkning 3.1.1.
Vi kan f¨ orest¨ alla oss att r ( t ) ¨ ar en funktion som sveper ut positionen till en partikel vid tiden t.
Om dess koordinatfunktioner ¨ ar deriverbara d˚ a beskriver d r hastigheten till partikeln vid positionen r ( t ).
Om nu koordinatfunktionerna till d r ¨ ar deriverbara d˚ a ¨ ar accelerationen, som f˚ as via derivering av koordinatfunktionerna till d r , ocks˚ a en vektorvärden funktion.",FunktionerModul1.pdf,concept
3.2 Kurvor och parametrisering,3.2 Kurvor och parametrisering,FunktionerModul1.pdf,concept
Kurvor,Kurvor är en specifik formel för en funktion som beskriver hur en partiellt skapad punkt skall vara. Detta är en specifik formel för en funktion som beskriver hur en partiellt skapad punkt skall vara.,FunktionerModul1.pdf,concept
Sl¨ at kurva,Sl¨ at kurva är en specifik formel för en funktion som beskriver hur en partiellt skapad punkt skall vara. Detta är en specifik formel för en funktion som beskriver hur en partiellt skapad punkt skall vara.,FunktionerModul1.pdf,concept
Orientering,Orientering är en specifik formel för en funktion som beskriver hur en partiellt skapad punkt skall vara. Detta är en specifik formel för en funktion som beskriver hur en partiellt skapad punkt skall vara.,FunktionerModul1.pdf,concept
Sl¨ at kurva,"Sl¨ at är en vektorv¨ ard funktion, vilket beskriver en kurva i ett punkt eller en rymdkurva.",FunktionerModul1.pdf,concept
At kurva i punkten r (c) ges d¨ armed av uttrycket med godtyckliga t.,"At kurva i punkten r (c) ges d¨ armed av uttrycket med godtyckliga t, vilket är en funktion som beskriver hur deras vektorv¨ ard för att gå från punkten r (c) till punkten r (b).",FunktionerModul1.pdf,concept
"Kurvan som best¨ ams av funktionen r (t) = (t 2 , t 3) ¨ ar inte sl¨ at i punkten r (0) = (0, 0) d˚ a derivatan av komponentfunktionerna ¨ ar noll i denna punkt.","Kurvan som best¨ ams av funktionen r (t) = (t 2 , t 3) ¨ ar inte sl¨ at i punkten r (0) = (0, 0) d˚ a derivatan av komponentfunktionerna ¨ ar noll i denna punkt. Det är en fall av en funktionsforsvar, vilket innebär att deras derivatan är null på punkten r (0).",FunktionerModul1.pdf,concept
Orientering till kurvan,"Orienteringen till kurvan är en vektorv¨ ard funktion, vilket beskriver hur deras vektorv¨ ard för att gå från punkten r (a) till punkten r (b). Orienteringen är en vektorv¨ ard, vilket beskriver hur deras vektorv¨ ard för att gå från punkten r (a) till punkten r (b) i en rymdkurva.",FunktionerModul1.pdf,concept
Parametriserad kurva,"Parametriserad kurva är en kurva, vilket beskriver en kurva i ett punkt eller en rymdkurva, vilket har en vektorv¨ ard funktion som beskriver hur deras vektorv¨ ard för att gå från punkten r (a) till punkten r (b). Parametriserad kurva har en vektorv¨ ard funktion, vilket beskriver hur deras vektorv¨ ard för att gå från punkten r (a) till punkten r (b) i en rymdkurva.",FunktionerModul1.pdf,concept
Exempel 5,"Ekvationssystemet

i tre ok¨ anda (x, y, z) är en rymdkurva C.
Notera att den f¨ orsta ekvationen beskriver en cirkel med radie 2 i (x, y)-planet, men att z-v¨ ardet ¨ ar godtyckligt.
L¨ osningen till denna ekvation beskriver en cylinder.
Sk¨ arningen av denna cylinder med planet {z = x + 2y} beskriver rymdkurvan C.
En parametrisering av denna kurva är


",FunktionerModul1.pdf,concept
3.3 B˚ agl¨ angd,C,FunktionerModul1.pdf,concept
3.4 Linjeintegral,r(t),FunktionerModul1.pdf,concept
Exempel 7,"f(x,y)=x, r(t)=(t,t^2), t∈[0,2]",FunktionerModul1.pdf,concept
Uppgifter,"φ(t)=1/12(1+4t^2)^{3/2}, t∈[0,2]",FunktionerModul1.pdf,concept
Uppgift 3.12,"r(t)=(2cosπt,sinπt)",FunktionerModul1.pdf,concept
Uppgift 3.13,"a) Cirkeln y=2x^2+2y^2=6, x∈[-2,2]; b) Linjestycket y=3x+5, x∈[0,3]; c) Ellipsen x^2+4y^2=4, x∈[-2,2]",FunktionerModul1.pdf,concept
Uppgift 3.14,"Partikel ror sig längs en kurva i R² s˚ a att den vid tidpunkt t sekunder efter starten befinner sig i punkten r(t)=(2cosπt,sinπt). Enhet p˚ a axlarna m=3√1+4t^2.",FunktionerModul1.pdf,concept
Uppgift 3.15,"Partikel ror sig i planet längs en ellipskurva s˚ a att den vid tidpunkt t≥0 befinner sig i punkten r(t)=(2cosπt,sinπt). Enhet p˚ a axlarna m=3√1+4t^2.",FunktionerModul1.pdf,concept
Uppgifter,Enhet p˚ a axlarna ¨ ar meter.,FunktionerModul1.pdf,definition
t ). Enhet p˚ a axlarna ¨ ar meter.,a) Vilken typ av kurva r¨ or sig partikeln l¨ angs?,FunktionerModul1.pdf,definition
